instance,total_tokens_title,total_tokens_content,total_words_title,total_words_content,total_filtered_words_title,total_filtered_words_content,count_exclamations_title,proportion_exclamations_title,count_exclamations_content,proportion_exclamations_content,count_question_title,proportion_question_title,count_question_content,proportion_question_content,count_allcaps_title,proportion_allcaps_title,count_allcaps_content,proportion_allcaps_content,count_contractions_title,proportion_contractions_title,count_contractions_content,proportion_contractions_content,count_words_in_title_in_content,proportion_words_in_title_in_content,sentiment_title

1,20,789,18,719,15,428,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25,0.03477051460361613,0,0.0,2,0.002797202797202797,37,0.08644859813084112,0.0

2,8,80,8,71,7,42,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.014084507042253521,0,0.0,0,0.0,1,0.023809523809523808,0.0

3,10,805,10,713,8,427,0,0.0,0,0.0,0,0.0,1,0.0012422360248447205,1,0.1,22,0.030855539971949508,0,0.0,8,0.011510791366906475,44,0.10304449648711944,-0.3888888888888889

4,11,2122,11,1891,10,1242,0,0.0,0,0.0,0,0.0,3,0.001413760603204524,0,0.0,7,0.0037017451084082496,0,0.0,0,0.0,76,0.061191626409017714,-0.13333333333333333

5,6,1123,6,986,4,578,0,0.0,0,0.0,0,0.0,4,0.003561887800534283,0,0.0,5,0.005070993914807302,0,0.0,2,0.0020512820512820513,21,0.03633217993079585,0.4

6,12,796,12,714,12,426,0,0.0,0,0.0,0,0.0,1,0.001256281407035176,0,0.0,10,0.014005602240896359,0,0.0,0,0.0,21,0.04929577464788732,0.013888888888888886

7,13,1150,10,1026,10,661,0,0.0,1,0.0008695652173913044,0,0.0,4,0.0034782608695652175,1,0.1,20,0.01949317738791423,0,0.0,6,0.00597609561752988,45,0.0680786686838124,0.5

8,11,137,11,129,8,79,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.015503875968992248,0,0.0,0,0.0,3,0.0379746835443038,0.3333333333333333

9,13,61,12,53,9,36,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.027777777777777776,0.0

10,15,807,14,709,12,465,0,0.0,0,0.0,0,0.0,0,0.0,1,0.07142857142857142,16,0.022566995768688293,0,0.0,6,0.008583690987124463,47,0.1010752688172043,0.0

11,11,421,10,379,10,232,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.0079155672823219,0,0.0,0,0.0,20,0.08620689655172414,-0.17500000000000002

12,13,411,12,377,11,218,0,0.0,0,0.0,0,0.0,0,0.0,1,0.08333333333333333,6,0.015915119363395226,0,0.0,0,0.0,19,0.0871559633027523,-0.1159090909090909

13,13,1393,12,1218,9,699,0,0.0,4,0.002871500358937545,0,0.0,4,0.002871500358937545,0,0.0,15,0.012315270935960592,0,0.0,26,0.022108843537414966,6,0.008583690987124463,0.0

14,24,894,23,802,17,490,0,0.0,0,0.0,0,0.0,0,0.0,1,0.043478260869565216,26,0.032418952618453865,0,0.0,15,0.0195822454308094,40,0.08163265306122448,0.05000000000000002

